#  plot 'V8va.dat' using 1:4 title 'dvBQ1' with lines, 'V8va.dat' using 1:5 title 'Ideal' with lines
#R	vBQ1/0V	vBQ1/1V dvBQ1	Ideal 
900	88.706	72.213	16.493	17.32868
910	89.675	73.002	16.673	17.32868
920	90.644	73.79	16.854	17.32868
930	91.613	74.579	17.034	17.32868
940	92.581	75.367	17.214	17.32868
950	93.548	76.155	17.393	17.32868
960	94.516	76.942	17.574	17.32868
970	95.483	77.73	17.753	17.32868
980	96.45	78.517	17.933	17.32868
990	97.416	79.303	18.113	17.32868
1000	98.382	80.089	18.293	17.32868
